"css-175oi2r href","css-9pa8cd src","css-1jxf684","css-1jxf684 2","css-146c3p1 href","css-146c3p1","css-146c3p1 2","css-1jxf684 href","css-1jxf684 4","css-1jxf684 5","css-1jxf684 href 2","css-1jxf684 6","css-1jxf684 7","css-1jxf684 8","css-1jxf684 9","css-175oi2r href 4","css-1jxf684 10","css-1jxf684 11","css-1jxf684 href 3","css-1jxf684 12","r-4qtqp9 src","css-1jxf684 13","css-1jxf684 href 4","css-1jxf684 14","css-1jxf684 15"
"https://x.com/drogonitematero","https://pbs.twimg.com/profile_images/1698484566426566656/IDTvj60g_normal.jpg","Drogonite","@drogonitematero","https://x.com/drogonitematero/status/2009746546011607077","9min","En respuesta a","https://x.com/Jackes_is_back","@Jackes_is_back","y","https://x.com/grok","@grok","Flaco, en la","patagonia","SOBRAN terrenos, son baratisimos, no tiene sentido lo que decis.","https://x.com/drogonitematero/status/2009746546011607077/analytics","30","","","","","","","",""
"https://x.com/Camhvill","https://pbs.twimg.com/profile_images/1655557335396536320/-2_P-Rr7_normal.jpg","la cami","@Camhvill","https://x.com/Camhvill/status/2009746193471992132","10min","En respuesta a","https://x.com/grok","@grok","","","","Cuántas empresas israelitas están ahora en la","patagonia","y cuántas planean instalarse","https://x.com/Camhvill/status/2009746193471992132/analytics","10","","","","","","","",""
"https://x.com/Camhvill","https://pbs.twimg.com/profile_images/1655557335396536320/-2_P-Rr7_normal.jpg","la cami","@Camhvill","https://x.com/Camhvill/status/2009745539106042011","13min","En respuesta a","https://x.com/grok","@grok","","","","Si crees que Israel quiera invadir la","patagonia","chilena?","https://x.com/Camhvill/status/2009745539106042011/analytics","22","1","","","","","","",""
"https://x.com/AmaDanCar","https://pbs.twimg.com/profile_images/1976685012629012480/iIoCn6HO_normal.jpg","Zurda","@AmaDanCar","https://x.com/AmaDanCar/status/2009745254283464741","14min","Respondiendo a","https://x.com/Demiaboudara","@Demiaboudara","","https://x.com/emi_2470","@emi_2470","La misma tecnología que usan los juden para matar niños palestinos, arrasar con su tierra y robarles sus recursos? Ahora incendian la","patagonia","para comprar tierras destruidas por ustedes manga de ratas inmundas. Le quieren echar la culpa a los mapuches, lacra nazi","https://x.com/AmaDanCar/status/2009745254283464741/analytics","10","","https://x.com/AmaDanCar/status/2009745254283464741/people","y 2 más","","","","",""
"https://x.com/kamiestepario","https://pbs.twimg.com/profile_images/1985853464195297280/4d-YJPA1_normal.jpg","Vulgarantifa","@kamiestepario","https://x.com/kamiestepario/status/2009743300727628178","22min","En respuesta a","https://x.com/soybortina","@soybortina","y","https://x.com/Tandil1872","@Tandil1872","Cuántos bolivianos, paraguayos o brasileros han cogido iniciando incendios forestales en la","Patagonia","y cuántos de nacionalidad israelí?","https://x.com/kamiestepario/status/2009743300727628178/analytics","22","1","","","https://abs-0.twimg.com/emoji/v2/svg/271d.svg","@grok","https://x.com/grok","1",""
"https://x.com/_AAhmed004","https://pbs.twimg.com/profile_images/1718188320537411584/bpvWki2k_normal.jpg","A Ahmed","@_AAhmed004","https://x.com/_AAhmed004/status/2009740966798962781","31min","En respuesta a","https://x.com/HopefulofNFTs","@HopefulofNFTs","y","https://x.com/Megatron_ron","@Megatron_ron","since Jan 5, 2026, burning over 17,500 hectares and evacuating ~3,000 people","Patagonia","","https://x.com/_AAhmed004/status/2009740966798962781/analytics","168","","https://x.com/grok","@grok","","","","",""
"https://x.com/NachoSalgadoG","https://pbs.twimg.com/profile_images/1874840008563023874/GEp2nbTM_normal.jpg","Nacho Salgado","@NachoSalgadoG","https://x.com/NachoSalgadoG/status/2009732944839999710","1h","En respuesta a","https://x.com/BotCheckerCL","@BotCheckerCL","","","","explícale quién fue Lázaro Báez y cuántas hectáreas tiene en la","","","https://x.com/NachoSalgadoG/status/2009732944839999710/analytics","847","1","","","","@grok","https://x.com/grok","","Patagonia"
"https://x.com/TerraeEMA","https://pbs.twimg.com/profile_images/1764065341867544576/_Wogjr3s_normal.jpg","Cirilo Saint Lucas","@TerraeEMA","https://x.com/TerraeEMA/status/2009732545970110834","1h","En respuesta a","https://x.com/grok","@grok","y","https://x.com/porqetendencias","@porqetendencias",", necesito que te pongas en la piel de un historiador, y me digas porque crees que aparecen estos carteles en la","",". Que tienen que ver con La Argentina? Que quieren dejando esos carteles?","https://x.com/TerraeEMA/status/2009732545970110834/analytics","58","1","","","","@grok","https://x.com/grok","","patagonia"
"https://x.com/savignonmns","https://pbs.twimg.com/profile_images/1021061945968021505/IfD6Tru5_normal.jpg","Monsieur Savignon","@savignonmns","https://x.com/savignonmns/status/2009727093546840356","1h","En respuesta a","https://x.com/Hispanico9691","@Hispanico9691","y","https://x.com/cabezadenafta","@cabezadenafta","El mismo usuario antisemita e ignorante que insiste con el plan andinia, ahora dice que El Estado Sionista de Israel aparte de estar comprando terrenos en la","","ahora también están comprando el agua de Chile","https://x.com/savignonmns/status/2009727093546840356/analytics","29","2","https://x.com/grok","@grok","","@grok","https://x.com/grok","","Patagonia"
"https://x.com/LeitoCarril","https://pbs.twimg.com/profile_images/1828489715630112768/iUEfvt6i_normal.jpg","Leo","@LeitoCarril","https://x.com/LeitoCarril/status/2009721491152089179","1h","En respuesta a","https://x.com/grok","@grok","y","https://x.com/explainthispos","@explainthispos","y que podes decir de los israelíes que encontraron encendiendo fuego en la","","? Son mapuches también? Será posible que tu algoritmo deje contestar preguntas relacionadas a eso?","https://x.com/LeitoCarril/status/2009721491152089179/analytics","24","","https://x.com/TTendenciaX","@TTendenciaX","","@grok","https://x.com/grok","","Patagonia"
